business_name,email,phone,website,city,address,owner_name,category
Flour + Time Bakery,flourandtimebakery@gmail.com,(470) 368-6588,http://www.flourandtimebakery.com/,"Atlanta, USA",,,vegan restaurant
Flaky Not Flaky - Bake Shoppe and Chocolatarium,info@flakynotflaky.com,(770) 847-0427,http://www.flakynotflaky.com/,"Atlanta, USA",,,restaurant
Doña Bakehouse Kuala Lumpur,connect@donabakehouse.com,018-782 8782,https://donabakehouse.com/,"Kuala Lumpur, Malaysia",,,restaurant
La Boulangerie,info@laboulangerie.pt,21 395 1208,https://laboulangerie.pt/,"Lisbon, Portugal",,,restaurant
Brunetti Oro Flinders Lane,yuri@brunettioro.com,(03) 9069 3169,https://brunettioro.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb-listing_flinderslane,"Melbourne, Australia",,,italian restaurant
Cakes And Muffin House,info@cakesandmuffins.co.ke,0724 693103,http://www.cakesandmuffins.co.ke/,"Nairobi, Kenya",,,restaurant
Boudin Bakery,info@bistroboudin.com,(415) 351-5561,https://www.bistroboudin.com/,"San Francisco, USA",,,restaurant
o bistro,info@obistro.nl,,http://www.obistro.nl/,"Amsterdam, Netherlands",,,french restaurant
Bistrot Neuf,reserveringen@neuf.amsterdam,020 400 3210,https://neuf.amsterdam/,"Amsterdam, Netherlands",,,french restaurant
Atrium - American Bistro & Martini Bar,info@atriumatl.com,(404) 600-3939,https://www.atriumatl.com/,"Atlanta, USA",,,restaurant
THE CHASTAIN - Restaurant,info@thechastainatl.com,(404) 257-6416,http://www.thechastainatl.com/,"Atlanta, USA",,,restaurant
Utopia Restaurant at the Underground Atlanta,info@utopialoungeatl.com,(470) 886-1803,https://utopialoungeatl.com/,"Atlanta, USA",,,restaurant
Ziba's Bistro and Wine Bar,zibasbistro@gmail.com,(404) 622-4440,https://www.zibasbistroandwinebar.com/,"Atlanta, USA",,,restaurant
Pacific Rim Bistro,pacificrimbistro@gmail.com,(404) 893-0018,http://www.pacificrimbistro.com/,"Atlanta, USA",,,sushi restaurant
Fin & Feathers Restaurants,info@finandfeathersrestaurants.com,(404) 855-5524,http://www.finandfeathersrestaurants.com/,"Atlanta, USA",,,restaurant
The Southern Gentleman,southerngentleman@sphospitality.com,(404) 939-9845,http://www.thesoutherngentlemanatl.com/,"Atlanta, USA",,,american restaurant
Bistro Saine,bonjour@bistrosaine.co.nz,09 610 8404,https://bistrosaine.co.nz/,"Auckland, New Zealand",,,restaurant
Hugo's Bistro,hello@hugosbistro.co.nz,09 320 4387,http://hugosbistro.co.nz/,"Auckland, New Zealand",,,restaurant
Amano,events@savorgroup.co.nz,09 394 1416,https://savor.co.nz/amano,"Auckland, New Zealand",,,restaurant
Le Garde-Manger,bookings@www.legardemanger.co.nz,09 362 0655,http://www.legardemanger.co.nz/,"Auckland, New Zealand",,,french restaurant
Bar Magda,hi@barmagda.co.nz,021 127 9377,http://www.barmagda.co.nz/,"Auckland, New Zealand",,,restaurant
Le Chef,booking@le-chef.co.nz,09 373 4723,https://le-chef.co.nz/,"Auckland, New Zealand",,,french restaurant
Olivia Bistro,oliviabar.bcn@gmail.com,658 08 68 69,https://olivia-bistro.makro.rest/,"Barcelona, Spain",,,restaurant
Algrano Bistro | Tamarit,info@algranobistro.com,640 39 99 88,http://www.algranobistro.com/,"Barcelona, Spain",,,restaurant
Gourmet Sensi,gourmet@sensi.es,936 73 62 65,https://sensi.es/gourmet,"Barcelona, Spain",,,tapas restaurant
Bistro Medina,bistro.medina@t-online.de,030 36419148,http://www.bistromedina.de/,"Berlin, Germany",,,restaurant
PeterPaul,mail@peterpaul.berlin,030 43773043,http://peterpaul.berlin/,"Berlin, Germany",,,german restaurant
Marie Antoinette | Restaurante Frances,servicioalcliente@restauranteseratta.com,322 7256479,https://www.restmarieantoinette.com/,"Bogotá, Colombia",,,french restaurant
Cosette Andino,cosette.salitre@dlksa.net,321 2093722,http://www.cosettecafebistro.com/,"Bogotá, Colombia",,,french restaurant
L' Orangerie Alvear Palace Hotel,restaurantes.aph@alvear.com.ar,011 4808-2100,http://alvearpalace.com/restaurantes-bares/restaurant-lorangerie/,"Buenos Aires, Argentina",,,restaurant
The Wes Bistro & Bar,info@thewes.co.za,082 770 3573,https://www.thewes.co.za/,"Cape Town, South Africa",,,restaurant
Bistro Sixteen82,reservations@bistro1682.co.za,021 205 3866,https://steenbergfarm.com/bistro1682-cape-town-contemporary-restaurant/?utm_source=google&utm_medium=organic&utm_id=gbp-bistro-1682,"Cape Town, South Africa",,,restaurant
The Bistro @ Klein Constantia,info@kleinconstantia.com,021 794 5188,https://www.kleinconstantia.com/the-bistro/,"Cape Town, South Africa",,,restaurant
Zest Restaurant,reservations@zestcapetown.co.za,021 010 7010,http://www.zestcapetown.co.za/,"Cape Town, South Africa",,,restaurant
Bistro Monadnock,reso@bistromonadnock.com,(312) 945-7040,http://www.bistromonadnock.com/,"Chicago, USA",,,french restaurant
River North Bistro,info@rivernorthbistrochicago.com,(312) 202-6055,http://www.rivernorthbistrochicago.com/,"Chicago, USA",,,american restaurant
Village Bistro,info@thefirstcollection.ae,04 275 6621,https://www.thefirstcollection.ae/jvc/restaurants/village-bistro-rest/?utm_source=listings&utm_medium=organic&utm_campaign=villagebistro,"Dubai, UAE",,,restaurant
Bistro Des Arts,info@bistrodesarts.ae,04 551 1576,http://www.bistrodesarts.ae/,"Dubai, UAE",,,restaurant
Bistro Arabia by FashionTV,bistroarabiabyftv@gmail.com,058 900 0897,https://bistroarabiaftv.com/,"Dubai, UAE",,,restaurant
Bistrot Novanta Dubai,reservations@bistrotnovanta.com,050 125 5849,https://www.bistrotnovanta.com/,"Dubai, UAE",,,restaurant
L'AUBERGE RESTAURANT,restoaubergedubai@gmail.com,04 451 6347,https://laubergerestaurant.com/,"Dubai, UAE",,,restaurant
La Serre Dubai,reservations@alpauae.com,052 377 3100,https://laserrecitywalk.com/,"Dubai, UAE",,,french restaurant
Chez Max,chezmaxpalace@gmail.com,(01) 633 7215,https://chezmax.com/,"Dublin, Ireland",,,french restaurant
Bloom Brasserie,info@bloombrasserie.ie,(01) 668 7170,http://www.bloombrasserie.ie/,"Dublin, Ireland",,,restaurant
The Bank on College Green,info@bankoncollegegreen.com,(01) 677 0677,http://www.bankoncollegegreen.com/,"Dublin, Ireland",,,european restaurant
Bistro Le Cep,junior@bistro-le-cep.com,(713) 783-3985,http://www.bistro-le-cep.com/,"Houston, USA",,,french restaurant
Salento Bistrot,info@salentobistrot.com,(713) 528-7478,https://salentobistrot.com/,"Houston, USA",,,spanish restaurant
Q Bistro Semarak (Jalan Tun Razak),info@hajris.com.my,018-304 7822,https://qbistro.com/,"Kuala Lumpur, Malaysia",,,indian restaurant
Sarastro KL by Millennium,hello@sarastrokl.com.my,03-2727 2280,https://sarastrokl.com.my/,"Kuala Lumpur, Malaysia",,,restaurant
Brasserie Léon,info@brasserie-leon.com,03-2011 3659,https://www.brasserie-leon.com/,"Kuala Lumpur, Malaysia",,,french restaurant
Étoile Bistro at EQ,info@kul.equatorial.com,03-2789 7777,https://www.eqkualalumpur.equatorial.com/dining/etoile/?utm_source=local&utm_medium=organic&utm_campaign=GoogleMyBusiness&utm_content=Etoile+GMB,"Kuala Lumpur, Malaysia",,,restaurant
Entier French Dining,bonjour@entierfrenchdining.com,03-2268 3819,http://entierfrenchdining.com/,"Kuala Lumpur, Malaysia",,,french restaurant
The Brasserie,thebrasserie@stregis.com,03-2727 6696,https://www.thebrasseriekl.com/,"Kuala Lumpur, Malaysia",,,restaurant
Piano Bistro Restaurant,info@thedelborough.com,,https://www.thedelborough.com/,"Lagos, Nigeria",,,restaurant
Brasserie Zedel,reservations@brasseriezedel.com,020 7734 4888,http://www.brasseriezedel.com/,"London, UK",,,french restaurant
Boro Bistro,helloborobistro@gmail.com,020 7378 0788,http://borobistro.co.uk/,"London, UK",,,french restaurant
Brother Marcus Borough,enquiries@brothermarcus.co.uk,020 3146 4001,https://brothermarcus.co.uk/locations/boroughyards/,"London, UK",,,mediterranean restaurant
Bistrot at Wild Honey,dining.stjames@sofitel.com,020 7747 2200,https://www.wildhoneylondon.co.uk/bistrotatwildhoney/,"London, UK",,,restaurant
